service_code,origin_iso2,dest_iso2,min_weight_kg,max_weight_kg,band_type,price,price_per_kg,min_charge,zone_label
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,0.1,0.1,FIXED,6.371155959375249,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,0.2,0.2,FIXED,7.630898224892865,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,0.3,0.3,FIXED,8.899653707592298,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,0.4,0.4,FIXED,10.159395973109916,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,0.5,0.5,FIXED,11.41913823862753,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,0.6,0.6,FIXED,12.678880504145146,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,0.7,0.7,FIXED,13.938622769662766,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,0.8,0.8,FIXED,15.198365035180382,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,0.9,0.9,FIXED,16.458107300697996,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,1.0,1.0,FIXED,17.72686278339743,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,1.1,1.1,FIXED,18.98660504891505,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,1.2,1.2,FIXED,20.24634731443266,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,1.3,1.3,FIXED,21.506089579950284,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,1.4,1.4,FIXED,22.765831845467893,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,1.5,1.5,FIXED,24.02557411098551,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,1.6,1.6,FIXED,25.28531637650313,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,1.7,1.7,FIXED,26.54505864202074,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,1.8,1.8,FIXED,27.80480090753836,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,1.9,1.9,FIXED,29.064543173055977,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,2.0,2.0,FIXED,30.324285438573593,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,2.5,2.5,FIXED,38.66153357863637,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,3.0,3.0,FIXED,41.02039415454546,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,3.5,3.5,FIXED,43.37024151327273,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,4.0,4.0,FIXED,45.72008887199999,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,4.5,4.5,FIXED,48.06993623072727,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,5.0,5.0,FIXED,50.419783589454546,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,6.0,6.0,FIXED,55.110465089727285,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,7.0,7.0,FIXED,59.80114659,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,8.0,8.0,FIXED,64.49182809027273,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,9.0,9.0,FIXED,69.17349637336362,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,10.0,10.0,FIXED,73.85516465645455,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,11.0,11.0,FIXED,78.53683293954548,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,12.0,12.0,FIXED,83.22751443981818,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,13.0,13.0,FIXED,87.9091827229091,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,14.0,14.0,FIXED,92.59986422318184,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,15.0,15.0,FIXED,97.29955894063637,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,16.0,16.0,FIXED,101.99925365809091,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,17.0,17.0,FIXED,106.69894837554546,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,18.0,18.0,FIXED,111.41666952736365,,,AE
UPS_ECONOMY_DDU_EXPORT_FR,FR,AE,19.0,19.0,FIXED,116.14340389636365,,,AE
