origin_iso2,dest_iso2,band_type,min_weight_kg,max_weight_kg,price,price_per_kg,min_charge
FR,RS,FIXED,0.1,0.1,6.639784616547376,,
FR,AE,FIXED,0.1,0.1,6.371155959375249,,
FR,TW,FIXED,0.1,0.1,7.0093647929371,,
FR,UA,FIXED,0.1,0.1,7.12630079255353,,
FR,BY,FIXED,0.1,0.1,6.602635355358146,,
FR,HK,FIXED,0.1,0.1,6.729861979859707,,
FR,TR,FIXED,0.1,0.1,7.304199107145461,,
FR,SG,FIXED,0.1,0.1,7.193509816482065,,
FR,MK,FIXED,0.1,0.1,6.931879178007352,,
FR,KZ,FIXED,0.1,0.1,7.17711857292173,,
FR,ZA,FIXED,0.1,0.1,7.177276587855804,,
FR,MY,FIXED,0.1,0.1,6.765961160394316,,
FR,BR,FIXED,0.1,0.1,8.180149445290091,,
FR,PH,FIXED,0.1,0.1,7.085251545183673,,
FR,DZ,FIXED,0.1,0.1,7.509728012061493,,
FR,MA,FIXED,0.1,0.1,7.509728012061493,,
FR,NG,FIXED,0.1,0.1,7.509728012061493,,
FR,QA,FIXED,0.1,0.1,7.590923876213535,,
FR,IL,FIXED,0.1,0.1,7.018511680298104,,
FR,IN,FIXED,0.1,0.1,6.995267262414464,,
FR,AR,FIXED,0.1,0.1,8.556410999283935,,
FR,CR,FIXED,0.1,0.1,7.49313012591696,,
FR,CL,FIXED,0.1,0.1,7.989043424959338,,
FR,PE,FIXED,0.1,0.1,7.451856480546694,,
FR,AO,FIXED,0.1,0.1,7.509728012061493,,
FR,SV,FIXED,0.1,0.1,7.49313012591696,,
FR,EC,FIXED,0.1,0.1,7.451856480546694,,
FR,CA,FIXED,0.1,0.1,7.717715019142937,,
FR,TH,FIXED,0.1,0.1,6.307321823815772,,
FR,AU,FIXED,0.1,0.1,8.399887824302352,,
FR,KR,FIXED,0.1,0.1,7.234244478911307,,
FR,CN,FIXED,0.1,0.1,7.170141887031627,,
FR,JO,FIXED,0.1,0.1,7.17711857292173,,
FR,KW,FIXED,0.1,0.1,6.503091865170317,,
FR,EG,FIXED,0.1,0.1,6.677808137821184,,
FR,MX,FIXED,0.1,0.1,7.112064443181214,,
FR,LB,FIXED,0.1,0.1,6.919137167565424,,
FR,GE,FIXED,0.1,0.1,7.17711857292173,,
FR,BA,FIXED,0.1,0.1,6.931879178007352,,
FR,MD,FIXED,0.1,0.1,6.931879178007352,,
FR,AM,FIXED,0.1,0.1,7.17711857292173,,
FR,ID,FIXED,0.1,0.1,7.6467750246870105,,
FR,SA,FIXED,0.1,0.1,7.07610830035291,,
FR,CO,FIXED,0.1,0.1,7.451856480546694,,
FR,RU,FIXED,0.1,0.1,7.2576318446652754,,
FR,JP,FIXED,0.1,0.1,7.345945359878806,,
FR,BD,FIXED,0.1,0.1,7.085251545183673,,
FR,BN,FIXED,0.1,0.1,7.085251545183673,,
FR,MV,FIXED,0.1,0.1,7.085251545183673,,
FR,LK,FIXED,0.1,0.1,7.085251545183673,,
FR,VN,FIXED,0.1,0.1,7.085251545183673,,
FR,AF,FIXED,0.1,0.1,7.17711857292173,,
FR,BH,FIXED,0.1,0.1,7.17711857292173,,
FR,OM,FIXED,0.1,0.1,7.17711857292173,,
FR,PK,FIXED,0.1,0.1,7.17711857292173,,
FR,CM,FIXED,0.1,0.1,7.509728012061493,,
FR,GH,FIXED,0.1,0.1,7.509728012061493,,
FR,UY,FIXED,0.1,0.1,7.451856480546694,,
FR,AW,FIXED,0.1,0.1,7.685300772396756,,
FR,BB,FIXED,0.1,0.1,7.685300772396756,,
FR,BZ,FIXED,0.1,0.1,7.49313012591696,,
FR,BW,FIXED,0.1,0.1,7.509728012061493,,
FR,DO,FIXED,0.1,0.1,7.49313012591696,,
FR,ET,FIXED,0.1,0.1,7.509728012061493,,
FR,GM,FIXED,0.1,0.1,7.509728012061493,,
FR,CI,FIXED,0.1,0.1,7.509728012061493,,
FR,KE,FIXED,0.1,0.1,7.509728012061493,,
FR,MW,FIXED,0.1,0.1,7.509728012061493,,
FR,ML,FIXED,0.1,0.1,7.509728012061493,,
FR,MU,FIXED,0.1,0.1,7.509728012061493,,
FR,PY,FIXED,0.1,0.1,7.685300772396756,,
FR,RW,FIXED,0.1,0.1,7.509728012061493,,
FR,SN,FIXED,0.1,0.1,7.509728012061493,,
FR,SC,FIXED,0.1,0.1,7.509728012061493,,
FR,SL,FIXED,0.1,0.1,7.509728012061493,,
FR,TZ,FIXED,0.1,0.1,7.509728012061493,,
FR,TG,FIXED,0.1,0.1,7.509728012061493,,
FR,TT,FIXED,0.1,0.1,7.685300772396756,,
FR,TN,FIXED,0.1,0.1,7.509728012061493,,
FR,UG,FIXED,0.1,0.1,7.509728012061493,,
FR,ZM,FIXED,0.1,0.1,7.509728012061493,,
FR,ZW,FIXED,0.1,0.1,7.509728012061493,,
FR,IS,FIXED,0.1,0.1,7.534268300776942,,
FR,NO,FIXED,0.1,0.1,8.492011038109258,,
FR,NZ,FIXED,0.1,0.1,8.009845377601199,,
FR,CH,FIXED,0.1,0.1,8.373508680852604,,
FR,US,FIXED,0.1,0.1,6.557887503163635,,
FR,GB,FIXED,0.1,0.1,6.208122535022726,,
FR,RS,FIXED,0.2,0.2,7.979575932106052,,
FR,AE,FIXED,0.2,0.2,7.630898224892865,,
FR,TW,FIXED,0.2,0.2,7.649332987739013,,
FR,UA,FIXED,0.2,0.2,7.640449222314051,,
FR,BY,FIXED,0.2,0.2,7.905912158964178,,
FR,HK,FIXED,0.2,0.2,7.3151861332565105,,
FR,TR,FIXED,0.2,0.2,7.8329806127481385,,
FR,SG,FIXED,0.2,0.2,7.880545393348152,,
FR,MK,FIXED,0.2,0.2,8.351382904701433,,
FR,KZ,FIXED,0.2,0.2,8.79778499184912,,
FR,ZA,FIXED,0.2,0.2,8.040239944938325,,
FR,MY,FIXED,0.2,0.2,8.37030651011253,,
FR,BR,FIXED,0.2,0.2,9.436935168862087,,
FR,PH,FIXED,0.2,0.2,8.670957888516284,,
FR,DZ,FIXED,0.2,0.2,9.307460540445703,,
FR,MA,FIXED,0.2,0.2,9.307460540445703,,
FR,NG,FIXED,0.2,0.2,9.307460540445703,,
FR,QA,FIXED,0.2,0.2,9.7267635133556,,
FR,IL,FIXED,0.2,0.2,7.686296751668215,,
FR,IN,FIXED,0.2,0.2,8.414040707991022,,
FR,AR,FIXED,0.2,0.2,9.905819874752606,,
FR,CR,FIXED,0.2,0.2,9.424136580956366,,
FR,CL,FIXED,0.2,0.2,9.250762673518627,,
FR,PE,FIXED,0.2,0.2,9.41662165944216,,
FR,AO,FIXED,0.2,0.2,9.307460540445703,,
FR,SV,FIXED,0.2,0.2,9.424136580956366,,
FR,EC,FIXED,0.2,0.2,9.41662165944216,,
FR,CA,FIXED,0.2,0.2,8.655617459975366,,
FR,TH,FIXED,0.2,0.2,7.743448684970694,,
FR,AU,FIXED,0.2,0.2,9.842341328507661,,
FR,KR,FIXED,0.2,0.2,7.96628510662084,,
FR,CN,FIXED,0.2,0.2,7.778049350460047,,
FR,JO,FIXED,0.2,0.2,8.79778499184912,,
FR,KW,FIXED,0.2,0.2,7.898417308880923,,
FR,EG,FIXED,0.2,0.2,8.045516478679172,,
FR,MX,FIXED,0.2,0.2,7.896392976257774,,
FR,LB,FIXED,0.2,0.2,8.463724807093755,,
FR,GE,FIXED,0.2,0.2,8.79778499184912,,
FR,BA,FIXED,0.2,0.2,8.351382904701433,,
FR,MD,FIXED,0.2,0.2,8.351382904701433,,
FR,AM,FIXED,0.2,0.2,8.79778499184912,,
FR,ID,FIXED,0.2,0.2,9.511157117449903,,
FR,SA,FIXED,0.2,0.2,8.856738079273228,,
FR,CO,FIXED,0.2,0.2,9.41662165944216,,
FR,RU,FIXED,0.2,0.2,7.807718994844575,,
FR,JP,FIXED,0.2,0.2,8.412623973669017,,
FR,BD,FIXED,0.2,0.2,8.670957888516284,,
FR,BN,FIXED,0.2,0.2,8.670957888516284,,
FR,MV,FIXED,0.2,0.2,8.670957888516284,,
FR,LK,FIXED,0.2,0.2,8.670957888516284,,
FR,VN,FIXED,0.2,0.2,8.670957888516284,,
FR,AF,FIXED,0.2,0.2,8.79778499184912,,
FR,BH,FIXED,0.2,0.2,8.79778499184912,,
FR,OM,FIXED,0.2,0.2,8.79778499184912,,
FR,PK,FIXED,0.2,0.2,8.79778499184912,,
FR,CM,FIXED,0.2,0.2,9.307460540445703,,
FR,GH,FIXED,0.2,0.2,9.307460540445703,,
FR,UY,FIXED,0.2,0.2,9.41662165944216,,
FR,AW,FIXED,0.2,0.2,9.746952227659722,,
FR,BB,FIXED,0.2,0.2,9.746952227659722,,
FR,BZ,FIXED,0.2,0.2,9.424136580956366,,
FR,BW,FIXED,0.2,0.2,9.307460540445703,,
FR,DO,FIXED,0.2,0.2,9.424136580956366,,
FR,ET,FIXED,0.2,0.2,9.307460540445703,,
FR,GM,FIXED,0.2,0.2,9.307460540445703,,
FR,CI,FIXED,0.2,0.2,9.307460540445703,,
FR,KE,FIXED,0.2,0.2,9.307460540445703,,
FR,MW,FIXED,0.2,0.2,9.307460540445703,,
FR,ML,FIXED,0.2,0.2,9.307460540445703,,
FR,MU,FIXED,0.2,0.2,9.307460540445703,,
