scope_id,service_id,code,description,is_catch_all
1,1,DELIVENGO_DE_BOXABLE,Delivengo ALLEMAGNE - Boxable,False
2,1,DELIVENGO_DE_NON_BOXABLE,Delivengo ALLEMAGNE - Non boxable,False
3,1,DELIVENGO_GB_BOXABLE,Delivengo GRANDE-BRETAGNE - Boxable,False
4,1,DELIVENGO_GB_NON_BOXABLE,Delivengo GRANDE-BRETAGNE - Non boxable,False
5,1,DELIVENGO_US_ENCOMBRANT,Delivengo ETATS-UNIS - Encombrant,False
6,1,DELIVENGO_ZONE1_BOXABLE,Delivengo ZONE 1 - Boxable,False
7,1,DELIVENGO_ZONE1_NON_BOXABLE,Delivengo ZONE 1 - Non boxable,False
8,1,DELIVENGO_ZONE2_ENCOMBRANT,Delivengo ZONE 2 - Encombrant,True
9,2,SPRING_EU_AT,Spring EU - AT,False
10,2,SPRING_EU_BE,Spring EU - BE,False
11,2,SPRING_EU_DE,Spring EU - DE,False
12,2,SPRING_EU_DK,Spring EU - DK,False
13,2,SPRING_EU_FI,Spring EU - FI,False
14,2,SPRING_EU_GR,Spring EU - GR,False
15,2,SPRING_EU_HU,Spring EU - HU,False
16,2,SPRING_EU_IE,Spring EU - IE,False
17,2,SPRING_EU_IT,Spring EU - IT,False
18,2,SPRING_EU_LU,Spring EU - LU,False
19,2,SPRING_EU_PL,Spring EU - PL,False
20,2,SPRING_EU_PT,Spring EU - PT,False
21,2,SPRING_EU_RU,Spring EU - RU,False
22,2,SPRING_EU_SE,Spring EU - SE,False
23,2,SPRING_EU_TR,Spring EU - TR,False
24,3,SPRING_ROW_AU,Spring ROW - AU,False
25,3,SPRING_ROW_CA,Spring ROW - CA,False
26,3,SPRING_ROW_CN,Spring ROW - CN,False
27,3,SPRING_ROW_HK,Spring ROW - HK,False
28,3,SPRING_ROW_ID,Spring ROW - ID,False
29,3,SPRING_ROW_IL,Spring ROW - IL,False
30,3,SPRING_ROW_IN,Spring ROW - IN,False
31,3,SPRING_ROW_JP,Spring ROW - JP,False
32,3,SPRING_ROW_KR,Spring ROW - KR,False
33,3,SPRING_ROW_MY,Spring ROW - MY,False
34,3,SPRING_ROW_SG,Spring ROW - SG,False
35,3,SPRING_ROW_TH,Spring ROW - TH,False
36,3,SPRING_ROW_TW,Spring ROW - TW,False
37,3,SPRING_ROW_US,Spring ROW - US,False
38,4,FDX_IP_ZONE_A,FedEx IP Export - Zone A,False
39,4,FDX_IP_ZONE_B,FedEx IP Export - Zone B,False
40,4,FDX_IP_ZONE_C,FedEx IP Export - Zone C,False
41,4,FDX_IP_ZONE_D,FedEx IP Export - Zone D,False
42,4,FDX_IP_ZONE_E,FedEx IP Export - Zone E,False
43,4,FDX_IP_ZONE_F,FedEx IP Export - Zone F,False
44,4,FDX_IP_ZONE_G,FedEx IP Export - Zone G,False
45,4,FDX_IP_ZONE_H,FedEx IP Export - Zone H,False
46,4,FDX_IP_ZONE_I,FedEx IP Export - Zone I,False
47,4,FDX_IP_ZONE_R,FedEx IP Export - Zone R,False
48,4,FDX_IP_ZONE_S,FedEx IP Export - Zone S,False
49,4,FDX_IP_ZONE_T,FedEx IP Export - Zone T,False
50,4,FDX_IP_ZONE_U,FedEx IP Export - Zone U,False
51,4,FDX_IP_ZONE_V,FedEx IP Export - Zone V,False
52,4,FDX_IP_ZONE_W,FedEx IP Export - Zone W,False
53,4,FDX_IP_ZONE_X,FedEx IP Export - Zone X,False
54,5,UPS_EXPRESS_SAVER_ZONE_1,UPS Express Saver - Zone 1,False
55,5,UPS_EXPRESS_SAVER_ZONE_2,UPS Express Saver - Zone 2,False
56,5,UPS_EXPRESS_SAVER_ZONE_3,UPS Express Saver - Zone 3,False
57,5,UPS_EXPRESS_SAVER_ZONE_4,UPS Express Saver - Zone 4,False
58,5,UPS_EXPRESS_SAVER_ZONE_5,UPS Express Saver - Zone 5,False
59,5,UPS_EXPRESS_SAVER_ZONE_6,UPS Express Saver - Zone 6,False
60,5,UPS_EXPRESS_SAVER_ZONE_7,UPS Express Saver - Zone 7,False
61,5,UPS_EXPRESS_SAVER_ZONE_8,UPS Express Saver - Zone 8,False
62,5,UPS_EXPRESS_SAVER_ZONE_9,UPS Express Saver - Zone 9,False
63,5,UPS_EXPRESS_SAVER_ZONE_10,UPS Express Saver - Zone 10,False
64,5,UPS_EXPRESS_SAVER_ZONE_11,UPS Express Saver - Zone 11,False
65,5,UPS_EXPRESS_SAVER_ZONE_12,UPS Express Saver - Zone 12,False
66,5,UPS_EXPRESS_SAVER_ZONE_13,UPS Express Saver - Zone 13,False
67,5,UPS_EXPRESS_SAVER_ZONE_22,UPS Express Saver - Zone 22,False
68,5,UPS_EXPRESS_SAVER_ZONE_33,UPS Express Saver - Zone 33,False
69,5,UPS_EXPRESS_SAVER_ZONE_51,UPS Express Saver - Zone 51,False
70,5,UPS_EXPRESS_SAVER_ZONE_52,UPS Express Saver - Zone 52,False
71,5,UPS_EXPRESS_SAVER_ZONE_61,UPS Express Saver - Zone 61,False
72,5,UPS_EXPRESS_SAVER_ZONE_71,UPS Express Saver - Zone 71,False
73,5,UPS_EXPRESS_SAVER_ZONE_504,UPS Express Saver - Zone 504,False
74,5,UPS_EXPRESS_SAVER_ZONE_505,UPS Express Saver - Zone 505,False
75,5,UPS_EXPRESS_SAVER_ZONE_506,UPS Express Saver - Zone 506,False
76,5,UPS_EXPRESS_SAVER_ZONE_507,UPS Express Saver - Zone 507,False
77,5,UPS_EXPRESS_SAVER_ZONE_703,UPS Express Saver - Zone 703,False
78,5,UPS_EXPRESS_SAVER_ZONE_704,UPS Express Saver - Zone 704,False
79,5,UPS_EXPRESS_SAVER_ZONE_705,UPS Express Saver - Zone 705,False
80,5,UPS_EXPRESS_SAVER_ZONE_706,UPS Express Saver - Zone 706,False
81,5,UPS_EXPRESS_SAVER_ZONE_707,UPS Express Saver - Zone 707,False
82,6,UPS_STANDARD_ZONE_1,UPS Standard - Zone 1,False
83,6,UPS_STANDARD_ZONE_2,UPS Standard - Zone 2,False
84,6,UPS_STANDARD_ZONE_3,UPS Standard - Zone 3,False
85,6,UPS_STANDARD_ZONE_4,UPS Standard - Zone 4,False
86,6,UPS_STANDARD_ZONE_5,UPS Standard - Zone 5,False
87,6,UPS_STANDARD_ZONE_6,UPS Standard - Zone 6,False
88,6,UPS_STANDARD_ZONE_7,UPS Standard - Zone 7,False
89,6,UPS_STANDARD_ZONE_8,UPS Standard - Zone 8,False
90,6,UPS_STANDARD_ZONE_9,UPS Standard - Zone 9,False
91,6,UPS_STANDARD_ZONE_10,UPS Standard - Zone 10,False
92,6,UPS_STANDARD_ZONE_11,UPS Standard - Zone 11,False
93,6,UPS_STANDARD_ZONE_12,UPS Standard - Zone 12,False
94,6,UPS_STANDARD_ZONE_13,UPS Standard - Zone 13,False
95,6,UPS_STANDARD_ZONE_22,UPS Standard - Zone 22,False
96,6,UPS_STANDARD_ZONE_33,UPS Standard - Zone 33,False
97,6,UPS_STANDARD_ZONE_51,UPS Standard - Zone 51,False
98,6,UPS_STANDARD_ZONE_52,UPS Standard - Zone 52,False
99,6,UPS_STANDARD_ZONE_61,UPS Standard - Zone 61,False
100,6,UPS_STANDARD_ZONE_71,UPS Standard - Zone 71,False
101,6,UPS_STANDARD_ZONE_504,UPS Standard - Zone 504,False
102,6,UPS_STANDARD_ZONE_505,UPS Standard - Zone 505,False
103,6,UPS_STANDARD_ZONE_506,UPS Standard - Zone 506,False
104,6,UPS_STANDARD_ZONE_507,UPS Standard - Zone 507,False
105,6,UPS_STANDARD_ZONE_703,UPS Standard - Zone 703,False
106,6,UPS_STANDARD_ZONE_704,UPS Standard - Zone 704,False
107,6,UPS_STANDARD_ZONE_705,UPS Standard - Zone 705,False
108,6,UPS_STANDARD_ZONE_706,UPS Standard - Zone 706,False
109,6,UPS_STANDARD_ZONE_707,UPS Standard - Zone 707,False
